scenario,method,acc_retain_unlearn,acc_forget_unlearn,acc_test_unlearn,acc_retain_orig,acc_forget_orig,acc_test_orig,forget_drop,retain_drop,test_drop,UQI,KL_retain,JS_retain,KL_test,JS_test,Agree_retain,Agree_test,MIA_AUC
fullclass,GA,0.36736111111111114,0.00625,0.34,0.9993055555555556,1.0,0.9375,0.99375,0.6319444444444444,0.5974999999999999,0.37902777777777785,4.710307598114014,0.5144699811935425,3.260411262512207,0.3514394462108612,0.3680555555555556,0.355,
fullclass,Fisher,0.4131944444444444,0.0125,0.3825,0.9993055555555556,1.0,0.9375,0.9875,0.5861111111111111,0.5549999999999999,0.41694444444444456,4.9677205085754395,0.5267226696014404,2.7891974449157715,0.3143358826637268,0.4131944444444444,0.42,
fullclass,NegGradPlus,0.9368055555555556,0.0,0.78,0.9993055555555556,1.0,0.9375,1.0,0.0625,0.15749999999999997,0.89,5.4180498123168945,0.5720164775848389,1.115224003791809,0.1524304449558258,0.9375,0.775,
fullclass,CF-k1,0.63125,0.225,0.4975,0.9993055555555556,1.0,0.9375,0.775,0.3680555555555556,0.44,0.37097222222222226,4.759724140167236,0.5258206129074097,2.4551773071289062,0.2736627757549286,0.6305555555555555,0.5,
fullclass,EU-k1,1.0,0.0,0.835,0.9993055555555556,1.0,0.9375,1.0,-0.000694444444444442,0.10250000000000004,0.9490972222222223,5.586781978607178,0.5716650485992432,0.6543186902999878,0.09179748594760895,0.9993055555555556,0.8325,
fullclass,SCRUB,0.85625,0.08125,0.6975,0.9993055555555556,1.0,0.9375,0.91875,0.1430555555555556,0.24,0.7272222222222222,5.2063374519348145,0.5516883730888367,1.7376272678375244,0.18991488218307495,0.8555555555555555,0.69,
fullclass,SCRUB(+R),0.9270833333333334,0.275,0.7475,0.9993055555555556,1.0,0.9375,0.725,0.07222222222222219,0.18999999999999995,0.5938888888888889,5.250932693481445,0.5590471029281616,1.4391484260559082,0.1614353060722351,0.9263888888888889,0.7325,
fullclass,Certified,0.9993055555555556,1.0,0.94,0.9993055555555556,1.0,0.9375,0.0,0.0,-0.0024999999999999467,0.0012499999999999734,5.7255778312683105,0.5844354629516602,1.1103599071502686,0.1323946863412857,0.9986111111111111,0.8125,
fullclass,Q-MUL,0.9993055555555556,1.0,0.9375,0.9993055555555556,1.0,0.9375,0.0,0.0,0.0,0.0,5.592752456665039,0.5808528661727905,1.1077648401260376,0.13156546652317047,0.9986111111111111,0.8175,
fullclass,LCA,0.9993055555555556,0.0,0.8475,0.9993055555555556,1.0,0.9375,1.0,0.0,0.08999999999999997,0.9550000000000001,5.535618782043457,0.5687696933746338,0.6216398477554321,0.09144017100334167,0.9986111111111111,0.8325,
fullclass,ADV-UNIFORM,0.9659722222222222,0.0,0.825,0.9993055555555556,1.0,0.9375,1.0,0.033333333333333326,0.11250000000000004,0.9270833333333333,5.409523010253906,0.5622543692588806,0.929246187210083,0.11749748885631561,0.9652777777777778,0.7975,
